Symbol,Name,Last,Std Dev,"Market Cap, $K",1Y Return,3Y Return,20D His Vol,Long Term,Exchange,%Chg,52W High,52W Low,Pivot
AMED,Amedisys Inc,48.14,-1.32,1677425000,9.66%,89.81%,34.13%,67% Sell,NASDAQ,-2.83%,65.91,34.58,49.79
AMG,Affiliated Managers Group,187.97,-3.35,10945216000,33.54%,-2.10%,15.42%,67% Buy,NYSE,-3.90%,198.4,130.48,195.86
AMGN,Amgen,177.06,-2.26,1.31611E+11,11.95%,11.22%,14.19%,67% Buy,NASDAQ,-1.84%,191.1,133.64,179.71
AMH,American Homes 4 Rent,21.4,-0.21,5580738000,0.42%,22.59%,10.54%,100% Sell,NYSE,-0.42%,23.98,19.62,21.55
AMKR,Amkor Technology,10.55,-0.56,2543440000,9.42%,56.78%,15.99%,Hold,NASDAQ,-0.75%,12.48,8.32,10.64
AMN,Amn Healthcare Services Inc,43,0.18,2057055000,28.74%,150.15%,36.16%,67% Buy,NYSE,0.23%,46.6,26,43.1
AMNB,American Natl Bksh,39.56,0.08,340377000,43.01%,62.60%,24.04%,67% Buy,NASDAQ,0.53%,42.99,26.78,39.38
AMOT,Allied Motion Tech,27.22,-0.54,259025000,37.75%,86.72%,20.45%,33% Buy,NASDAQ,-0.69%,30.31,15.54,27.35
AMP,Ameriprise Financial Services,154.55,1.05,23086262000,58.95%,22.03%,5.65%,100% Buy,NYSE,0.38%,159.57,86.25,154.24
AMPH,Amphastar Pharma,18.09,-0.58,843150000,-2.00%,79.98%,21.08%,Hold,NASDAQ,-0.88%,21.75,12.05,18.19
AMRC,Ameresco Inc,7.65,-1.85,352858000,55.61%,-5.95%,13.99%,67% Buy,NYSE,-1.29%,8,4.6,7.73
AMSF,Amerisafe Inc,59.1,-2,1150552000,5.54%,43.41%,9.34%,67% Buy,NASDAQ,-1.17%,69.4,51.2,59.85
AMSWA,Amer Software Inc,12.29,-0.08,366868000,15.34%,27.74%,15.24%,100% Buy,NASDAQ,-0.41%,12.52,9,12.39
AMT,American Tower Corp,137.02,-1.13,59239712000,17.22%,41.57%,12.01%,Hold,NYSE,-0.73%,148.71,99.72,138.1
AMTD,TD Ameritrade HD,49.4,-0.79,26407502000,44.00%,48.19%,23.38%,100% Buy,NASDAQ,-1.20%,50.96,33.26,49.52
AMWD,Amer Woodmark Cp,98.2,-1.06,1613625000,31.90%,142.73%,13.68%,Hold,NASDAQ,-1.11%,107.3,69.65,98.41
AMZN,Amazon.Com Inc,972.45,-0.23,4.68803E+11,16.63%,219.49%,12.50%,67% Sell,NASDAQ,-0.35%,1083.31,710.1,973.58
AN,Autonation Inc,46.12,-0.29,4652381000,0.74%,-19.11%,19.81%,67% Buy,NYSE,-0.43%,53.74,38.2,46.21
ANAB,Anaptysbio Inc,65.4,0.02,1510124000,282.65%,0.00%,244.54%,100% Buy,NASDAQ,0.86%,74,15.17,64.84
ANAT,Amer Natl Insurance,120.65,0.44,3239679000,0.99%,5.45%,10.52%,67% Buy,NASDAQ,0.29%,131.99,110.43,120.09
ANCX,Access National Corp,27.84,-0.46,572755000,17.40%,66.71%,11.02%,67% Buy,NASDAQ,-0.89%,33.18,22.73,28.23
ANDE,Andersons Inc,36,-1.22,1039394000,-6.14%,-42.49%,23.40%,33% Buy,NASDAQ,-1.77%,44.9,30.8,36.87
ANDV,Andeavor,105.2,-1.79,16749074000,27.22%,49.49%,11.80%,67% Buy,NYSE,-1.45%,107.71,75.11,106.49
ANET,Arista Networks Inc,189.54,-2.03,14005543000,125.56%,137.66%,11.85%,67% Buy,NYSE,-1.84%,196.27,79.05,192.4
ANF,Abercrombie & Fitch Company,14.12,-0.38,962793000,-8.18%,-57.77%,29.51%,67% Buy,NYSE,-0.14%,17.35,8.81,14.08
ANGI,Homeservices Inc.,11.94,0.3,727512000,52.88%,70.30%,31.28%,67% Sell,NASDAQ,0.59%,13.74,5.22,11.89
ANGO,Angiodynamics Inc,16.97,-0.84,644069000,1.79%,3.18%,55.47%,67% Buy,NASDAQ,-3.25%,18.85,14.8,17.65
ANH,Anworth Mortgage Asset Corp,5.85,-2.01,579447000,16.30%,14.45%,12.07%,100% Sell,NYSE,-1.52%,6.35,4.75,5.97
ANIK,Anika Therapeutics,59.04,-1.25,873589000,36.70%,48.46%,12.10%,67% Buy,NASDAQ,-0.92%,60.29,41.38,59.73
ANIP,ANI Pharma Inc,59,-0.81,699466000,-11.50%,76.80%,43.25%,100% Buy,NASDAQ,-1.73%,67.1,42.23,59.49
ANSS,Ansys Inc,131.77,-0.12,11197644000,44.89%,68.16%,8.88%,100% Buy,NASDAQ,-0.26%,133.4,82.28,131.57
ANTM,Anthem Inc,203.28,2.81,51268744000,63.24%,54.12%,22.69%,100% Buy,NYSE,4.11%,209.74,114.85,195.27
AOBC,American Outdoor Brands Corp,14.53,-0.18,786780000,-45.60%,43.41%,30.15%,67% Sell,NASDAQ,-0.27%,28.57,13.28,14.52
AON,AON Plc,151.1,-1.21,39934228000,40.64%,77.19%,6.73%,100% Buy,NYSE,-0.84%,152.78,107.19,152.34
AOS,Smith [A.O.] Corp,58.58,-3.84,10685402000,26.44%,132.16%,19.33%,67% Buy,NYSE,-5.41%,62.16,43.66,61.79
AOSL,Alpha and Omega Semi,17.45,-0.88,421662000,-19.62%,89.21%,17.54%,Hold,NASDAQ,-0.51%,23.93,14.81,17.63
AP,Ampco-Pittsburgh Corp,17.7,-1.35,223716000,58.56%,-16.93%,32.91%,67% Buy,NYSE,-2.21%,18.59,10.25,18.13
APA,Apache Corp,39.08,-1.36,15290530000,-35.54%,-48.01%,32.23%,67% Sell,NYSE,-2.64%,69,38.14,40.25
APAM,Artisan Partners Asset Manageme,35.6,-1.5,2740137000,29.17%,-25.23%,17.66%,100% Buy,NYSE,-1.79%,36.33,24.47,36.17
APC,Anadarko Petroleum Corp,47.46,-1.58,26923856000,-22.31%,-47.65%,13.09%,67% Buy,NYSE,-1.23%,73.33,39.96,48.23
APD,Air Products and Chemicals,153.27,-0.69,33533148000,14.97%,14.25%,5.41%,67% Buy,NYSE,-0.38%,154.74,129,153.86
APEI,American Pub. Edu.,20,-1.04,329063000,-0.50%,-34.66%,18.90%,67% Sell,NASDAQ,-1.23%,27.2,14.75,20.42
APH,Amphenol Corp,87.11,1.01,26467244000,33.92%,71.31%,11.77%,100% Buy,NYSE,0.53%,88.18,64.73,86.65
APLE,Apple Hospitality REIT Inc,18.8,-1.64,4246873000,3.89%,0.00%,9.96%,Hold,NYSE,-1.26%,20.68,17.32,19
